# OSU MPI Bi-Directional Bandwidth Test v5.7
# Size      Bandwidth (MB/s)
1                       4.63
2                      10.06
4                      19.97
8                      39.13
16                     76.28
32                    152.40
64                    302.38
128                   573.66
256                   883.90
512                  1539.50
1024                 2574.35
2048                 4191.46
4096                 6458.51
8192                 8943.16
16384                9978.32
32768               11470.16
65536               11907.46
131072              16717.78
262144              19876.52
524288              22010.88
1048576             22321.88
2097152             22463.99
4194304             22545.15
